"","GeneID","Cluster","ComparisonGroup"
"221","LOC4343421","cluster2","Group1"
"222","LOC4341482","cluster2","Group1"
"223","LOC9269310","cluster2","Group1"
"224","LOC9271199","cluster2","Group1"
"225","LOC9269558","cluster2","Group1"
"226","LOC107276777","cluster2","Group1"
"227","LOC107281203","cluster2","Group1"
"228","LOC4326573","cluster2","Group1"
"229","LOC107277037","cluster2","Group1"
"230","LOC107277612","cluster2","Group1"
"231","LOC4334080","cluster2","Group1"
"232","LOC4331888","cluster2","Group1"
"233","LOC4333039","cluster2","Group1"
"234","LOC107277137","cluster2","Group1"
"235","LOC4328242","cluster2","Group1"
"236","LOC4325446","cluster2","Group1"
"237","LOC112936937","cluster2","Group1"
"238","LOC9271629","cluster2","Group1"
"239","LOC107277525","cluster2","Group1"
"240","LOC4326777","cluster2","Group1"
"241","LOC4340956","cluster2","Group1"
"242","LOC4325271","cluster2","Group1"
"243","LOC107275485","cluster2","Group1"
"244","LOC9266484","cluster2","Group1"
"245","LOC4337382","cluster2","Group1"
"246","LOC4350514","cluster2","Group1"
"247","LOC4342310","cluster2","Group1"
"248","LOC107276315","cluster2","Group1"
"249","LOC9267260","cluster2","Group1"
"250","LOC4337130","cluster2","Group1"
"251","LOC4344277","cluster2","Group1"
"252","LOC4349639","cluster2","Group1"
"253","LOC4330452","cluster2","Group1"
"254","LOC4327925","cluster2","Group1"
"255","LOC4331750","cluster2","Group1"
"256","LOC4348931","cluster2","Group1"
"257","LOC9268017","cluster2","Group1"
"258","LOC4337428","cluster2","Group1"
"259","LOC9266924","cluster2","Group1"
"260","LOC4345294","cluster2","Group1"
"261","LOC4324172","cluster2","Group1"
"262","LOC4335094","cluster2","Group1"
"263","LOC9268953","cluster2","Group1"
"264","LOC4326812","cluster2","Group1"
"265","LOC4341880","cluster2","Group1"
"266","LOC4342261","cluster2","Group1"
"267","LOC4351074","cluster2","Group1"
"268","LOC4328976","cluster2","Group1"
"269","LOC4348268","cluster2","Group1"
"270","LOC107277108","cluster2","Group1"
"271","LOC107279017","cluster2","Group1"
"272","LOC107275672","cluster2","Group1"
"273","LOC4324660","cluster2","Group1"
"274","LOC107279802","cluster2","Group1"
"275","LOC4349916","cluster2","Group1"
"276","LOC9269508","cluster2","Group1"
"277","LOC4352333","cluster2","Group1"
"278","LOC112937817","cluster2","Group1"
"279","LOC4333971","cluster2","Group1"
"280","LOC4350224","cluster2","Group1"
"281","LOC4351384","cluster2","Group1"
"282","LOC9270749","cluster2","Group1"
"283","LOC107278800","cluster2","Group1"
"284","LOC4330391","cluster2","Group1"
"285","LOC4348963","cluster2","Group1"
"286","LOC107276849","cluster2","Group1"
"287","LOC112936948","cluster2","Group1"
"288","LOC107275770","cluster2","Group1"
"289","LOC4349644","cluster2","Group1"
"290","LOC107277815","cluster2","Group1"
"291","LOC4345993","cluster2","Group1"
"292","LOC4345832","cluster2","Group1"
"293","LOC4341070","cluster2","Group1"
"294","LOC4349848","cluster2","Group1"
"295","LOC4351191","cluster2","Group1"
"296","LOC107280428","cluster2","Group1"
"297","LOC4333181","cluster2","Group1"
"298","LOC4337119","cluster2","Group1"
"299","LOC4335964","cluster2","Group1"
"300","LOC4340158","cluster2","Group1"
"301","LOC9266899","cluster2","Group1"
"302","LOC4347957","cluster2","Group1"
"303","LOC4350156","cluster2","Group1"
"304","LOC4351260","cluster2","Group1"
"305","LOC4343861","cluster2","Group1"
"306","LOC4326845","cluster2","Group1"
"307","LOC4325395","cluster2","Group1"
"308","LOC4351188","cluster2","Group1"
"309","LOC4335438","cluster2","Group1"
"310","LOC4324643","cluster2","Group1"
"311","LOC107276055","cluster2","Group1"
"312","LOC112939616","cluster2","Group1"
"313","LOC4329724","cluster2","Group1"
"314","LOC4335090","cluster2","Group1"
"315","LOC107281061","cluster2","Group1"
"316","LOC4350502","cluster2","Group1"
"317","LOC4347518","cluster2","Group1"
"318","LOC9266355","cluster2","Group1"
"319","LOC9272376","cluster2","Group1"
"320","LOC9270958","cluster2","Group1"
"321","LOC9267869","cluster2","Group1"
"322","LOC4341261","cluster2","Group1"
"323","LOC4329730","cluster2","Group1"
"324","LOC4349853","cluster2","Group1"
"325","LOC4349607","cluster2","Group1"
"326","LOC4344706","cluster2","Group1"
"327","LOC107276972","cluster2","Group1"
"328","LOC9266189","cluster2","Group1"
"329","LOC4334903","cluster2","Group1"
"330","LOC9267535","cluster2","Group1"
"331","LOC4332378","cluster2","Group1"
"332","LOC9272299","cluster2","Group1"
"333","LOC4344841","cluster2","Group1"
"334","LOC4344509","cluster2","Group1"
"335","LOC4338203","cluster2","Group1"
"336","LOC4345994","cluster2","Group1"
"337","LOC4329752","cluster2","Group1"
"338","LOC4331946","cluster2","Group1"
"339","LOC4339379","cluster2","Group1"
"340","LOC4349167","cluster2","Group1"
"341","LOC4331102","cluster2","Group1"
"342","LOC9269280","cluster2","Group1"
"343","LOC4349956","cluster2","Group1"
"344","LOC4348374","cluster2","Group1"
"345","LOC107277777","cluster2","Group1"
"346","LOC4343027","cluster2","Group1"
"347","LOC107275946","cluster2","Group1"
"348","LOC4334477","cluster2","Group1"
"349","LOC4350583","cluster2","Group1"
"350","LOC4325656","cluster2","Group1"
"351","LOC4328481","cluster2","Group1"
"352","LOC9271404","cluster2","Group1"
"353","LOC4352236","cluster2","Group1"
"354","LOC4332361","cluster2","Group1"
"355","LOC107280050","cluster2","Group1"
"356","LOC4324911","cluster2","Group1"
"357","LOC4334011","cluster2","Group1"
