"","Input_1_cpmZscore","Input_2_cpmZscore","Input_3_cpmZscore","HK_Input_1_cpmZscore","HK_Input_2_cpmZscore","HK_Input_3_cpmZscore","HK_Ecoil_1_cpmZscore","HK_Ecoil_2_cpmZscore","HK_Ecoil_3_cpmZscore","HK_water_1_cpmZscore","HK_water_2_cpmZscore","HK_water_3_cpmZscore"
"LOC4334594",1.4946096910839,1.32301447657862,1.28502270705517,0.215988594572572,0.693491531968513,0.0444595098221124,-0.954626536221948,-1.05811352658028,-1.14634949876249,-0.196154229479655,-0.805175518640485,-0.896167201396023
"LOC4334608",-1.24937276011972,-1.3015024353067,-1.19305367060894,-0.450116491708669,-0.148416923824702,-0.588395081386924,1.00966438569165,1.47326600722056,1.24128937826233,-0.193207941510052,0.739251874627514,0.660593658663644
"LOC4334610",0.0756408390727107,-1.0444531170639,-0.606911877400861,2.46758389299859,0.362917107923023,1.26852928279686,-0.442859018723616,-0.506644401193637,-0.575029489076789,-0.485689255970805,-0.782952126975654,0.269868163614071
"LOC4334612",-1.20201631121987,-1.29644027635897,-1.36295732133028,-0.492006680019975,-0.606037837218926,-0.526127256363669,0.662863581149234,0.900224623893522,1.06269872281468,0.97986199345675,1.05008808590101,0.829848675296504
"LOC4334614",-0.290894786268879,-0.000469509083675331,-0.231914717468941,2.2629582612149,1.27072338903644,1.10899391424377,-0.754432744725878,-0.723376544816014,-0.854653659605228,-0.671009990666591,-0.547062027936966,-0.568861583922935
"LOC4334617",-1.43934644688641,-1.60041403395644,-1.45373965377839,0.800235190432291,0.138836830477968,-0.319153773976364,0.293093248868596,0.710573742820738,0.165426369579109,1.42184345522016,0.519515296327683,0.763129774871052
"LOC4334623",-1.41781256570145,-1.43689053685149,-1.59867510814729,-0.254866649893975,-0.0190247262342703,-0.122266838879608,0.671990552923617,0.887314337264513,0.549889981927784,0.521034212984434,1.02686880691212,1.19243853369562
"LOC4334632",-1.1409695408007,-1.13394709197046,-0.897189759377732,-0.934782848040408,-0.716857473873994,-0.651716425084986,0.789092283676575,1.09715908823534,1.34382840498017,0.187445167298848,1.0995918583873,0.958346336570041
"LOC4334638",-1.3051467875003,-1.34027708202367,-1.29719262491212,-0.263157108328887,-0.484260810081741,-0.640762331593802,0.722499771058162,1.29042601548438,0.657657385612758,1.15489664452614,0.661253607845967,0.844063319913105
"LOC4334643",-1.52674346096829,-1.52245807336424,-1.45098501352663,-0.0980098892188495,-0.107580830896153,-0.275443239937372,0.770868864854563,0.837237416197708,0.916818008961764,0.851092918184312,0.815076148700688,0.790127151012497
"LOC4334644",-1.5427978503198,-1.55383962297228,-1.55962544904409,0.881482447276934,0.336707918844877,-0.181632808715848,0.231327585019508,0.717861256351031,0.213368097650354,1.18822585734567,0.53900039562562,0.729922172938035
"LOC4334649",-1.39478268590833,-1.33593718073183,-1.42744373739317,-0.29841683664454,-0.248045054475862,-0.375984354485295,1.136310179919,1.12996927379346,1.16392554927522,0.287435725297641,0.736704640925428,0.626264480428277
"LOC4334651",-1.32652659474552,-1.36912742045602,-1.35391042592236,-0.185153259760426,-0.481143955481091,-0.634783748021669,0.849950244837492,1.00126347655926,0.842115915320317,1.03294062668001,0.664462495249028,0.959912645740964
"LOC4334660",1.03567185884422,0.855787086528661,0.838408275828132,1.14172282077827,1.103330609764,0.724416841136753,-1.02647923229488,-0.850512470360701,-0.995388744210771,-0.918553433035179,-1.03745509372922,-0.870948519249297
"LOC4334663",-0.260958163645836,-0.493358742646287,-0.443744896103417,-0.923726669236628,-0.972615264784014,-1.0513784861875,-0.282875319112533,0.300377371618893,-0.347798054443741,2.12511272037666,1.08573770295773,1.26522780120668
"LOC4334670",-0.113508137631718,-0.689079564918095,-0.00117345272923256,2.46774694237215,0.139398639310306,0.711673924468451,-1.14980635234944,-0.782453733246651,-1.20610454684429,0.693612666296227,-0.144812794562775,0.0745064098350686
"LOC4334675",1.39891703762693,1.80991639133071,1.7075005183094,-0.426486521034429,-0.34968488885906,-0.432546804390191,-0.646484464647148,-0.802100543246161,-0.693139462977796,-0.545626901978943,-0.494630760635759,-0.525633599497556
"LOC4334681",-0.821204845444588,-0.676491591197149,-0.553676788438226,-0.00515616254779938,-0.497546450192306,-0.488382702357233,1.64432219582601,0.940397051680551,2.13196952529123,-0.545796536185304,-0.503736665816622,-0.624697030618574
"LOC4334687",-0.762446114538576,-1.27919123913237,-1.13227427439166,0.25869264625724,-0.347813908619108,-0.21305203994339,-0.301368320098681,-0.155659116750616,-0.498926275851782,1.91126263974746,1.06940065856546,1.45137534475602
"LOC4334701",1.75476201924641,1.45367113556863,1.7354442944845,-0.559706279939258,-0.642603542894001,-0.730186748349876,-0.426205454917881,-0.529257479460722,-0.622059240273623,-0.508515039283112,-0.485695778137677,-0.439647886043383
"LOC4334707",-0.390254958639388,-0.445470831487899,-0.413332733897704,2.29313565861133,1.60892587462787,0.80126850596694,-0.571239550420326,-0.569088485592564,-0.55978369285752,-0.588663806287747,-0.585780431058714,-0.579715548964279
"LOC4334717",0.547693140809231,0.594965299616132,0.309021224732484,1.98192692655428,1.1312453392309,0.667585976951248,-0.838834297298014,-0.896487608569048,-0.9966411148153,-0.92282935005486,-0.803136222275677,-0.774509314881384
"LOC4334726",-1.10933337267305,-1.436915603521,-1.28044907104432,-0.122470883825133,0.0645228446285156,-0.66025228673284,0.176845812223261,0.523668384423744,0.0222459441978123,0.735885453780077,1.54460765518237,1.54164512336057
"LOC4334736",1.36953654870225,0.936901398551294,1.01727705075413,1.00939076522647,0.882096635731846,0.398813334845252,-0.9276959961451,-0.892623066063115,-0.954051950776514,-0.933940727688654,-0.954652516993337,-0.95105147614452
"LOC4334737",1.31266345325758,0.970111666062355,1.0618972188666,0.854976075014245,0.968332022111089,0.453118532745994,-0.883458781102719,-0.77067706600329,-0.864473037882227,-1.06768884866705,-0.983627763626166,-1.05117347077642
