"","Kingdom","Phylum","Class","Order","Family","Genus"
"ASV_3515","Bacteria","Acidobacteriota","Subgroup 11",NA,NA,NA
"ASV_3516","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Xanthobacteraceae",NA
"ASV_3517","Bacteria","Desulfobacterota",NA,NA,NA,NA
"ASV_3519","Bacteria","Desulfobacterota","Desulfovibrionia","Desulfovibrionales","Desulfovibrionaceae","Desulfovibrio"
"ASV_3532","Bacteria","Chloroflexi","Anaerolineae","SJA-15",NA,NA
"ASV_3537","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Beijerinckiaceae",NA
"ASV_3538","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiales Incertae Sedis","Phreatobacter"
"ASV_3540","Bacteria","Bacteroidota","Kryptonia","Kryptoniales","BSV26",NA
"ASV_3542","Bacteria","Actinobacteriota","Actinobacteria","Corynebacteriales","Mycobacteriaceae","Mycobacterium"
"ASV_3544","Bacteria","Desulfobacterota","Syntrophobacteria","Syntrophobacterales","Syntrophobacteraceae","Desulfovirga"
"ASV_3547","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae",NA
"ASV_3548","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidetes BD2-2",NA
"ASV_3551","Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae","Bacillus"
"ASV_3554","Bacteria","Myxococcota","Polyangia","UASB-TL25",NA,NA
"ASV_3558","Bacteria","Bacteroidota","Kryptonia","Kryptoniales","BSV26",NA
"ASV_3559","Bacteria","Campylobacterota","Campylobacteria","Campylobacterales",NA,NA
"ASV_3560","Bacteria","Actinobacteriota","Actinobacteria","Micrococcales","Intrasporangiaceae",NA
"ASV_3561","Bacteria","Proteobacteria","Gammaproteobacteria","Methylococcales","Methylomonadaceae","Methylomicrobium"
"ASV_3562","Bacteria","Acidobacteriota","Holophagae","Subgroup 7",NA,NA
"ASV_3563","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae","Nitratireductor"
"ASV_3569","Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiaceae","Clostridium sensu stricto 1"
"ASV_3570","Bacteria","Myxococcota","Polyangia","Polyangiales","Polyangiaceae","Pajaroellobacter"
"ASV_3571","Bacteria","Actinobacteriota","Actinobacteria","Corynebacteriales","Mycobacteriaceae","Mycobacterium"
"ASV_3572","Bacteria","Acidobacteriota","Acidobacteriae","Paludibaculum",NA,NA
"ASV_3578","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiales Incertae Sedis",NA
"ASV_3579","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Williamwhitmaniaceae","Acetobacteroides"
"ASV_3580","Bacteria","Chloroflexi","SHA-26",NA,NA,NA
"ASV_3583","Bacteria","Verrucomicrobiota","Verrucomicrobiae","Pedosphaerales","Pedosphaeraceae",NA
"ASV_3589","Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiaceae","Clostridium sensu stricto 10"
"ASV_3590","Bacteria","Chloroflexi",NA,NA,NA,NA
"ASV_3592","Bacteria","Myxococcota","Myxococcia","Myxococcales","Myxococcaceae","P3OB-42"
"ASV_3594","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales",NA,NA
"ASV_3595","Bacteria","Acidobacteriota","Acidobacteriae","Solibacterales","Solibacteraceae","Candidatus Solibacter"
