diff	lwr	upr	p adj	group
WT-Line22-11	0.262478505419451	-0.29813011015854	0.823087120997442	0.802202144633282	Shannon
Line9-1-Line22-11	0.315470236637499	-0.283845582667216	0.914786055942215	0.6950080001671	Shannon
Line5-2-Line22-11	0.32468682739798	-0.345368628580182	0.994742283376142	0.773869614345585	Shannon
Line22-3-Line22-11	0.44596916135592	-0.153346657948795	1.04528498066064	0.27744998064612	Shannon
BS-Line22-11	1.33065449631289	0.70208676217776	1.95922223044802	1.27497007851307e-06	Shannon
Line5-7-Line49-3	0.100341477621729	-0.5282262565134	0.728909211756858	0.999528928566742	Shannon
WT-Line49-31	0.131354205621461	-0.460422749816278	0.723131161059201	0.996130980094166	Shannon
Line9-1-Line49-3	0.18434593683951	-0.44422179729562	0.812913670974639	0.979861627994217	Shannon
Line5-2-Line49-3	0.19356252759999	-0.502779528585755	0.889904583785735	0.985154086694855	Shannon
Line22-3-Line49-3	0.314844861557931	-0.313722872577199	0.94341259569306	0.744067742192955	Shannon
BS-Line49-31	1.1995301965149	0.543012609909134	1.85604778312067	2.31331994142714e-05	Shannon
WT-Line5-71	0.0310127279997321	-0.529595887578259	0.591621343577723	0.999999656238212	Shannon
Line9-1-Line5-7	0.0840044592177804	-0.515311360086935	0.683320278522496	0.999800660934774	Shannon
Line5-2-Line5-71	0.0932210499782613	-0.576834405999901	0.763276505956423	0.99981033604198	Shannon
Line22-3-Line5-7	0.214503383936202	-0.384812435368514	0.813819203240917	0.941568397561079	Shannon
BS-Line5-71	1.09918871889317	0.470620984758041	1.7277564530283	5.06017168451223e-05	Shannon
Line9-1-WT	0.0529917312180483	-0.507616884359943	0.61360034679604	0.999986117619359	Shannon
Line5-2-WT	0.0622083219785292	-0.573462097875575	0.697878741832633	0.999982400715863	Shannon
Line22-3-WT	0.18349065593647	-0.377117959641522	0.744099271514461	0.963254855560664	Shannon
BS-WT1	1.06817599089344	0.476399035455699	1.65995294633118	2.8846320379472e-05	Shannon
Line5-2-Line9-11	0.00921659076048087	-0.660838865217681	0.679272046738643	0.999999999979318	Shannon
Line22-3-Line9-11	0.130498924718421	-0.468816894586294	0.729814744023137	0.996564417164477	Shannon
BS-Line9-11	1.01518425967539	0.386616525540261	1.64375199381052	0.000190356255221347	Shannon
Line22-3-Line5-2	0.12128233395794	-0.548773122020222	0.791337789936102	0.998933586507702	Shannon
BS-Line5-21	1.00596766891491	0.309625612729164	1.70230972510065	0.000997751311740513	Shannon
BS-Line22-31	0.884685334956969	0.25611760082184	1.5132530690921	0.0014216000701075	Shannon
Line49-3-WT	0.000863259636915803	-0.0117352559816688	0.0134617752555004	0.999998484411673	Simpson
Line5-7-WT	0.00197994843112115	-0.00995501512968195	0.0139149119919242	0.999394080085421	Simpson
Line22-1-WT	0.00232723264294432	-0.00960773091785877	0.0142621962037474	0.998282747090143	Simpson
Line5-2-WT1	0.0060261980807963	-0.00750677855713352	0.0195591747187261	0.838891576723656	Simpson
Line9-1-WT1	0.00611621381802119	-0.00581874974278191	0.0180511773788243	0.722141622228571	Simpson
Line22-3-WT1	0.00922188913818944	-0.00271307442261365	0.0211568526989925	0.236083936231643	Simpson
BS-WT2	0.0139205815750046	0.00132206595642004	0.0265190971935892	0.0215081549966512	Simpson
Line5-7-Line49-31	0.00111668879420534	-0.0122650766548768	0.0144984542432875	0.999994096913055	Simpson
Line22-1-Line49-3	0.00146397300602852	-0.0119177924430536	0.0148457384551107	0.99996239691287	Simpson
Line5-2-Line49-31	0.00516293844388049	-0.00966169470568867	0.0199875715934497	0.949155229633296	Simpson
Line9-1-Line49-31	0.00525295418110538	-0.00812881126797676	0.0186347196301875	0.90825685516035	Simpson
Line22-3-Line49-31	0.00835862950127364	-0.0050231359478085	0.0217403949503558	0.493789822134424	Simpson
BS-Line49-32	0.0130573219380888	-0.00091947623346215	0.0270341201096398	0.0818124201335818	Simpson
Line22-1-Line5-7	0.000347284211823173	-0.0124117285219359	0.0131062969455822	0.999999997550445	Simpson
Line5-2-Line5-72	0.00404624964967515	-0.0102187602495602	0.0183112595489105	0.983331371131502	Simpson
Line9-1-Line5-71	0.00413626538690004	-0.00862274734685902	0.0168952781206591	0.965088332154299	Simpson
Line22-3-Line5-71	0.0072419407070683	-0.00551707202669077	0.0200009534408274	0.611394896965134	Simpson
BS-Line5-72	0.0119406331438835	-0.00144113230519865	0.0253223985929656	0.110076580781436	Simpson
Line5-2-Line22-12	0.00369896543785198	-0.0105660444613834	0.0179639753370873	0.990098291125346	Simpson
Line9-1-Line22-12	0.00378898117507687	-0.00897003155868219	0.0165479939088359	0.978400834552765	Simpson
Line22-3-Line22-12	0.00689465649524512	-0.00586435623851394	0.0196536692290042	0.667065874635002	Simpson
BS-Line22-12	0.0115933489320603	-0.00178841651702182	0.0249751143811425	0.131332054274119	Simpson
Line9-1-Line5-2	9.00157372248911e-05	-0.0141749941620105	0.0143550256364602	1	Simpson
Line22-3-Line5-21	0.00319569105739315	-0.0110693188418422	0.0174607009566285	0.995904384194495	Simpson
BS-Line5-22	0.00789438349420835	-0.00693024965536082	0.0227190166437775	0.682831332667355	Simpson
Line22-3-Line9-12	0.00310567532016826	-0.00965333741359081	0.0158646880539273	0.99320865836959	Simpson
BS-Line9-12	0.00780436775698345	-0.00557739769209869	0.0211861332060656	0.579057341875097	Simpson
BS-Line22-32	0.0046986924368152	-0.00868307301226694	0.0180804578858973	0.94698094320357	Simpson
Line22-3-Line9-13	1.88588618983363	-316.48430146474	320.256073844407	1	Chao1
Line22-1-Line9-1	2.41254989175172	-315.957637762822	320.782737546326	1	Chao1
Line5-7-Line9-11	32.0555657305655	-286.314621924008	350.425753385139	0.99997862813086	Chao1
Line5-2-Line9-12	34.3944531163281	-321.554237686167	390.343143918824	0.99998386379115	Chao1
Line49-3-Line9-11	154.056167775761	-179.853302029947	487.96563758147	0.813524809001697	Chao1
WT-Line9-11	285.276756483992	-12.5312846075933	583.084797575578	0.0687555604232272	Chao1
BS-Line9-13	639.938885140201	306.029415334492	973.848354945909	9.4551282855404e-06	Chao1
Line22-1-Line22-3	0.526663701918096	-317.843523952656	318.896851356492	1	Chao1
Line5-7-Line22-31	30.1696795407319	-288.200508113842	348.539867195306	0.999985877150226	Chao1
Line5-2-Line22-31	32.5085669264945	-323.440123876001	388.45725772899	0.99998903109736	Chao1
Line49-3-Line22-31	152.170281585928	-181.739188219781	486.079751391636	0.822646301592424	Chao1
