"","YR_1_1","YR_1_2","YR_1_3","YR_3_2","YR_3_3","YR_3_4","YR_1_4","YR_1_5","YR_1_6","YR_2_6","YR_2_7","YR_2_8","YR_1_17","YR_2_1","YR_2_2","YR_2_3","YR_2_4","YR_2_5","YR_3_8","YR_3_9","YR_3_10","YR_3_11","YR_1_10","YR_1_11","YR_1_12","YR_1_13","YR_3_12","YR_3_13","YR_3_14","YR_3_15","YR_3_16"
"ASV_2013",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,11,88,54,36,37,60
"ASV_2014",0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,68,39,69,74
"ASV_2015",0,0,0,0,0,0,12,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,31,0,40,0,0,0,0,0,0
"ASV_2016",0,11,4,14,0,0,0,0,17,18,0,0,0,0,43,16,0,0,12,34,24,0,0,0,8,11,0,0,0,0,0
"ASV_2018",0,0,0,0,73,0,0,0,0,0,0,0,53,15,29,0,0,0,4,32,15,18,0,0,0,0,0,0,0,0,0
"ASV_2019",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,61,56,70,43
"ASV_2020",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83,95,70,72,0
"ASV_2021",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77,81,49,48,65
"ASV_2022",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,82,0,72,124
"ASV_2023",0,10,0,13,45,0,16,0,12,0,10,9,0,0,0,0,0,18,25,18,17,0,0,8,0,0,0,0,0,0,0
"ASV_2024",0,0,0,60,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,27,47,0,0,0,0,0,0,0,0,0,0
"ASV_2027",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,48,67,80,80
"ASV_2029",12,14,0,0,14,0,0,0,24,0,0,0,0,0,0,0,0,0,0,16,0,22,0,0,0,0,0,0,0,0,0
"ASV_2030",6,5,10,17,0,1,20,0,2,77,0,31,0,3,0,0,3,1,0,5,1,4,0,2,9,16,30,0,23,27,0
"ASV_2031",0,0,0,0,0,0,0,0,23,0,0,46,0,0,0,0,0,24,0,36,28,0,19,37,16,0,0,0,0,0,0
"ASV_2032",0,0,0,0,0,0,0,0,0,0,0,49,0,0,0,0,0,0,0,22,0,0,17,39,0,0,0,0,0,0,0
"ASV_2033",0,21,0,47,0,0,16,4,27,7,0,14,0,0,0,0,19,0,45,46,0,0,0,34,0,7,0,0,0,0,0
"ASV_2034",0,18,0,0,0,0,0,14,14,0,0,0,0,0,0,15,0,20,0,32,16,0,0,0,4,15,11,28,23,40,0
"ASV_2035",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,55,43,43,87,83
"ASV_2036",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,83,82,53,61,29
"ASV_2037",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,61,63,62,67
"ASV_2039",10,5,12,0,60,0,0,20,13,0,0,0,22,0,0,5,10,7,0,16,0,0,0,0,0,0,0,0,0,0,0
"ASV_2040",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,69,91,41,73,37
"ASV_2043",0,9,0,0,103,0,0,0,0,0,0,0,0,0,47,34,0,0,0,0,24,0,0,25,1,0,0,0,0,0,0
"ASV_2044",0,0,22,0,0,0,0,0,29,0,0,8,0,21,0,0,0,0,0,0,0,0,0,17,0,0,92,0,0,27,80
"ASV_2047",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,108,78,57,54,0
"ASV_2048",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,92,79,72,56,0
"ASV_2050",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,66,62,54,75
"ASV_2051",0,0,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77,66,29,0,0,0,0,0,0,0
"ASV_2052",0,0,0,0,0,0,6,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,13,77,91,0,54,26
"ASV_2053",0,0,13,0,0,0,0,76,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0
"ASV_2055",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,122,60,46,32
"ASV_2056",0,0,0,0,31,0,9,0,17,29,0,0,0,21,0,0,0,0,45,32,24,22,0,0,11,0,0,0,0,0,0
"ASV_2057",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,21,56,83,64,71,0
"ASV_2058",0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,11,108,75,42,67,0
"ASV_2061",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,127,69,59,57
"ASV_2062",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,7,54,65,60,51,69
"ASV_2064",0,14,0,0,0,0,0,0,13,7,0,0,0,0,0,9,0,0,8,23,9,0,0,0,0,0,23,37,23,27,0
"ASV_2066",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89,76,45,57,43
"ASV_2067",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,72,48,81,56
"ASV_2068",0,0,8,33,0,0,0,30,0,0,0,0,0,29,0,0,0,0,0,0,0,63,0,17,0,0,0,0,0,0,0
"ASV_2070",0,0,0,32,0,0,0,1,21,0,0,0,0,0,0,0,0,16,19,39,13,32,0,0,0,0,0,0,16,15,0
"ASV_2071",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,73,29,66,85
"ASV_2073",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,113,73,53,68,0
"ASV_2074",0,0,0,0,0,0,0,0,37,0,0,0,0,0,0,15,0,11,18,29,32,35,0,11,0,0,0,0,0,0,0
"ASV_2075",0,0,0,0,0,0,0,0,0,34,0,137,0,22,0,0,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_2076",0,27,11,58,0,0,16,10,21,0,0,25,0,9,0,0,0,0,12,0,18,0,0,0,0,0,0,0,0,0,0
"ASV_2077",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,94,74,69,0
"ASV_2078",10,6,0,0,0,18,0,14,5,0,0,14,0,0,0,13,0,0,15,9,13,0,9,11,0,8,25,0,14,15,31
"ASV_2079",0,0,0,0,34,0,0,0,0,0,0,0,36,0,88,0,0,0,0,0,49,0,0,0,0,0,0,0,0,0,0
"ASV_2080",0,0,0,0,0,0,21,0,43,117,0,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_2081",0,0,0,0,0,0,0,104,0,0,0,0,0,0,0,0,0,0,34,0,162,0,0,0,0,0,0,5,0,0,0
"ASV_2083",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,100,57,46,71
"ASV_2085",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92,84,62,66,0
