"","YR_1_1","YR_1_2","YR_1_3","YR_3_2","YR_3_3","YR_3_4","YR_1_4","YR_1_5","YR_1_6","YR_2_6","YR_2_7","YR_2_8","YR_1_17","YR_2_1","YR_2_2","YR_2_3","YR_2_4","YR_2_5","YR_3_8","YR_3_9","YR_3_10","YR_3_11","YR_1_10","YR_1_11","YR_1_12","YR_1_13","YR_3_12","YR_3_13","YR_3_14","YR_3_15","YR_3_16"
"ASV_1076",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,40,59,50,64,33
"ASV_1077",0,0,4,0,0,0,0,0,0,0,0,0,0,8,0,0,0,10,0,0,6,8,0,0,0,22,26,31,21,27,43
"ASV_1078",35,0,11,0,0,0,37,11,0,0,0,0,0,28,22,0,0,0,45,35,0,21,0,0,0,0,0,0,0,0,0
"ASV_1079",0,5,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,6,5,5,10,56,38,42,56,43
"ASV_1080",0,11,5,0,15,0,12,0,13,0,0,0,0,0,0,3,22,0,5,0,6,0,0,205,0,0,1,0,0,0,0
"ASV_1081",0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,23,0,0,8,0,0,0,0,0,14,39,35,45,35,55
"ASV_1082",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,45,63,47,70
"ASV_1083",1,0,0,0,0,0,0,11,0,0,2,4,0,0,0,1,0,0,0,0,0,1,0,2,10,2,27,39,40,32,68
"ASV_1084",0,0,13,5,0,109,0,0,5,18,122,33,35,34,36,0,0,13,4,0,0,12,14,0,0,0,0,0,0,0,0
"ASV_1085",7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,42,34,37,39,76
"ASV_1086",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,26,50,46,50,49,0
